Make,Model,Year,Vin,Engine
Honda,CR-V,1995,RD1,B20B
Honda,CR-V,1996,RD1,B20B
Honda,CR-V,1997,RD1,B20B
Honda,CR-V  4WD,1996,RD1,B20B
Honda,STEPWAGON,1997,RF2,B20B
Honda,Torneo,1998,CF4,F20B
Isuzu,BIGHORN,1995,UBS69DW,4JG2
Isuzu,BIGHORN,1995,UBS69GW,4JG2
Isuzu,Wizard,1997,UCS69GW,4JG2
Mazda,BONGO FRIENDEE,1996,SGLR,WL
Mazda,Capella Wagon,1999,GWEW,FS
Mazda,DEMIO,2002,DY5W,ZY
Mazda,Familia ,2000,BJ5W,ZL
Mazda,Friendee,1996,SGLW,WL
Mazda,Friendee,1996,SG5W,J5
Mazda,FRIENDEE,1996,SGLR,WL
Mazda,Friendee,1997,SGLW,WL
Mazda,FRIENDEE,1999,SGLR,WL
Mazda,FRIENDEE,2000,SGLR,WL
Mazda,MPV,1997,LVLR,WL
Mazda,MPV,1998,LVLR,WL
Mazda,PREMACY,2000,CP8W,FP
Mazda,Premacy,2003,CP8W,FP
TOYOTA,CALDINA  4WD,2001,ST215,3S
Mitsubishi,Cedia,2000,CS2A,4G15
Mitsubishi,CEDIA,2001,CS5W,4G93
Mitsubishi,CEDIA,2002,CS5W,4G93
Mitsubishi,CHARIOT GRANDIS,1999,N94W,4G64
Mitsubishi,Delica,1996,PD4W,4G64
Mitsubishi,Delica,1996,PE8W,4M40
Mitsubishi,Delica,1996,PD8W,4M40
Mitsubishi,DELICA,1997,PE8W,4M40
Mitsubishi,DELICA  10P,1996,PC5W,4D56
Mitsubishi,DELICA  S-GEAR,1998,PC5W,4D56
Mitsubishi,DELICA S-GEAR,1997,PE8W,4M40
Mitsubishi,DELICA S-GEAR,1997,PD8W,4M40
Mitsubishi,DELICA S-GEAR,1998,PE8W,4M40
Mitsubishi,GRANDIS 4WD,2000,N94W,4G64
Mitsubishi,MIRAGE,1996,CJ1A,4G13
Nissan,AD Van,1999,VEY11,YD22
Nissan,AD Van,1999,VY11,QG13
Nissan,AD Van,2000,VFY11,QG15
Nissan,AD Van,2002,VEY11,YD22
Nissan,AD Van,2002,VHNY11,QG18
Nissan,AD Van,2004,VFY11,QG15
Nissan,AD Van,2004,VHNY11,QG18
Nissan,BASSARA,2000,JU30,KA24
Nissan,BLUEBIRD,2002,QG10,QG18
Nissan,Cube,1999,Z10,CG13
Nissan,CUBE,2001,ANZ10,CGA3
Nissan,CUBE,2003,BZ11,CR14
Nissan,ELGRAND,1997,AVWE50,QD32
Nissan,ELGRAND,1998,AVWE50,QD32
Nissan,FAMILIA,2003,VHNY11,QG18
Nissan,FAMILIA ,2001,BJ5W,ZL
Nissan,HOMY,1994,ARME24,TD27
Nissan,HOMY,1997,CGRE24,TD27
Nissan,Largo,1996,NW30,KA24
Nissan,Laurel,1997,GC35,RB25
Nissan,LIBERTY,1999,PM12,SR20
Nissan,Lourel,2002,HC35,RB20
Nissan,PRESAGE,1998,U30,KA24
Nissan,PRESAGE,1999,U30,KA24
Nissan,PRESAGE,1999,U30,K24
Nissan,PRESAGE 4WD,1998,NU30,KA24
Nissan,PRIMERA,1995,P11,SR18
Nissan,PRIMERA,2001,WTP12,QR20
Nissan,RNESSA,1998,N30,SR20
Nissan,RNESSA,1998,NN30,SR20
Nissan,SUNNY,1999,FB15,QG15
Nissan,Sunny,2000,FB15,QG15
Nissan,TERRANO,1995,PR50,TD27
Nissan,TERRANO,1997,RR50,QD32
Nissan,TINO,2001,HV10,SR20
Nissan,WINGROAD,2004,WFY11,QG15
Opel,Corsa,1999,EL55,5E
Subaru,FORESTER,1998,SF5,EJ20
Subaru,FORESTER,2000,SF5,EJ20
NISSAN,LIBERTY,2000,PM12,SR20
NISSAN,LIBERTY,2002,RM12,
Suzuki,ESCUDO,1996,TA3W,RF
Toyota,ARDEO,1998,ZZV50,1ZZ
Toyota,ARDEO,1999,ZZV50,1ZZ
Toyota,CALDINA,1996,ST191,3S
Toyota,CALDINA,1997,ST210,3S
Toyota,CALDINA,1997,AT211,7A
Toyota,CALDINA,1997,ST215,3S
Toyota,CALDINA,1997,ST191,3S
Toyota,Caldina,1998,ST215,3S
Toyota,CALDINA,1998,ST210,3S
Toyota,CALDINA,1999,ST210,3S
Toyota,CALDINA,1999,ST215,3S
Toyota,CALDINA  4WD,1995,ST195,
Toyota,CALDINA  4WD,1997,ST195,3S
Toyota,CALDINA  4WD,1998,ST215,3S
Toyota,CALDINA  4WD,1998,CT216,3C
Toyota,CALDINA  4WD,1999,ST215,3S
Toyota,CALDINA 4WD,1997,ST215,3S
Toyota,CAMRY,1995,SV40,4S
Toyota,CAMRY,1997,SV41,3S
Toyota,Camry,1998,SV40,4S
Toyota,CAMRY,1998,SV41,3S
Toyota,Carib,1995,AE115,7A
Toyota,CARIB,1998,AE115,7A
Toyota,CARINA,1995,ST195,3SFE
Toyota,CARINA,1997,AT211,7AFE
Toyota,Carina,1998,AT211,7AFE
Toyota,Carina,2001,AT211,7AFE
Toyota,CHASER,1997,JZX100,1JZ
Toyota,Chaser,1998,JZX100,1JZ
Toyota,CHASER,1998,LX100,2L
Toyota,CHASER,1999,JZX100,1JZ
Toyota,CHASER,1999,GX100,1G
Toyota,Chaser,2000,JZX100,1JZ
Toyota,COROLLA,1996,AE110,5A
Toyota,Corolla,1997,AE110,5A
Toyota,Corolla,1998,AE114,5A
Toyota,COROLLA,2000,AE114,4A
Toyota,COROLLA SPACIO,1997,AE111,4A
Toyota,CORONA PREMIO,1998,ST210,3S
Toyota,Cresta,1998,GX100,1G
Toyota,Cresta,1998,JZX100,1JZ
Toyota,CRESTA,1999,JZX100,1JZ
Toyota,CRESTA,1999,GX100,1G
Toyota,CROWN,1997,JZS151,1JZ
Toyota,Crown,1998,JZS151,1JZ
Toyota,CROWN,1998,GS151,1G 
Toyota,CROWN,1998,JZS155,2JZ
Toyota,DELTA  NOAH,1997,CR50,3C
Toyota,Delta Noah,1997,CR50,3C
Toyota,Delta Noah,1999,CR50,3C
Toyota,DEMIO,2003,DY3W,ZJ
Toyota,ED,1997,ST202,3S
Toyota,FIT,2002,GD1,L13A
Toyota,FIT,2004,GD1,L13A
Toyota,Funcargo,2000,NCP20,2NZ
Toyota,Gaia,1998,SXM15,3S
Toyota,GAIA,1999,SXM15,3S
Toyota,GAIA,2000,SXM10,3S
Toyota,GAIA,2000,SXM10,
Toyota,GRACIA,2001,MCV25,2MZ
Toyota,GRANVIA,1996,KCH16,1KZ
Toyota,Hiace,1993,KZN106,1KZ
Toyota,Hiace,1993,KZH106,1KZ
Toyota,Hiace,1994,KZN106,1KZ
Toyota,Hiace,1994,KZH106,1KZ
Toyota,HIACE,1995,KZH106,
Toyota,Hiace,1996,KZN106,1KZ
Toyota,Hiace,1996,KZH106,1KZ
Toyota,HIACE,1996,KZH106,1KZ
Toyota,Hiace,1997,KZH106,1KZ
Toyota,Hiace,1998,KZH106,1KZ
Toyota,HIACE ,1993,KZH106,1KZ
Toyota,HIACE ,1993,KZH106,
Toyota,HIACE ,1994,KZH106,1KZ
Toyota,HIACE ,1994,KZH106,
Toyota,HIACE ,1995,KZH106,1KZ
Toyota,HIACE ,1995,KZH106,
Toyota,HIACE ,1996,KZH106,1KZ
Toyota,HIACE ,1996,KZH106,
Toyota,HIACE ,1997,KZH106,1KZ
Toyota,HIACE ,1998,KZH106,1KZ
Toyota,HIACE  4WD,1995,KZH106,1KZ
Toyota,Hiace W,1994,KZH106,1KZ
Toyota,Hiace W,1996,KZH106,1KZ
Toyota,Hiace W,1999,KZH106,1KZ
Toyota,Hilux Surf,1995,KZN130W,1KZ
Toyota,IPSUM,1997,SXM10,3S
Toyota,Ipsum,1999,SXM15,3S
Toyota,IPSUM,1999,SXM10,3S
Toyota,Landcruiser,1996,HDJ81,1HD
Toyota,LiteAce,1994,CR31,3C
Toyota,LiteAce,1996,CR31,3C
Toyota,LiteAce,2000,SR50,3S
Toyota,LITEACE  NOAH,1996,SR50,3S
Toyota,LITEACE  NOAH,1997,SR50G,3S
Toyota,LITEACE  NOAH,1997,CR50,3C
Toyota,LITEACE  NOAH,1998,SR50,3S
Toyota,LITEACE  NOAH,1999,SR50,3S
Toyota,LITEACE  Van,2001,CR42,3?
Toyota,LITEACE 4WD S/R,1995,CR31,3C
Toyota,Liteace Noah,1998,SR50,3S
Toyota,LITEACE V  4WD,1997,CR51,2C
Toyota,LITEACE Van,1998,CR41,2C
Toyota,LITEACE Van,1999,CR42,3C
Toyota,Liteace Wagon,1996,CR31,3C
Toyota,MARK,1998,JZX100,1JZ
Toyota,MARK,1999,JZX100,1JZ
Toyota,MARK 2,2000,JZX100,1JZ
Toyota,NADIA,1999,SXN15,3S
Toyota,Odyssey,1998,RA4,F23A
Toyota,ODYSSEY,1999,RA3,F23A 
Toyota,Opa,2002,ACT10,1AZ
Toyota,PAJERO,1995,V46,4M40
Toyota,PLATZ,2000,NCP16,2NZ
Toyota,PREMIO,1996,ST210,3S
Toyota,PREMIO,1997,ST210,3S
Toyota,Premio,1999,ST210,3S
Toyota,PREMIO,1999,AT211,7A
Toyota,PROBOX,2003,NCP50,2NZ
Toyota,Raum,1998,ENZ10,5E
Toyota,Raum,1998,ENZ15,5E
Toyota,SPACIO,1998,AE111,4A
Toyota,SPACIO,1998,AE115,7A
Toyota,SPACIO  4WD,1998,AE115,7A
Toyota,STARLET,1998,EP91,4E
Toyota,TownAce,1997,CR50,3C
Toyota,TownAce,1998,SR50,3S
Toyota,TownAce,1998,CR50,3C
Toyota,TownAce,1999,CR50,3C
Toyota,TownAce,2000,SR50,3S
Toyota,TOWNACE ,1996,CR31,3C
Toyota,TOWNACE  4WD,1991,CR30,2C
Toyota,TOWNACE  NOAH,1997,CR50,3C
Toyota,TOWNACE  NOAH,1997,SR50,3S
Toyota,TOWNACE  NOAH,1998,CR50,3C
Toyota,TOWNACE  NOAH,1998,SR50,3S
Toyota,TOWNACE  NOAH,1999,SR50,
Toyota,TOWNACE  NOAH  ,1997,CR50,3C
Toyota,TOWNACE  NOAH  Van,1997,CR41,2C
Toyota,TOWNACE  NOAH  Van,1998,CR51,2C
Toyota,TOWNACE NOAH,1997,SR50,3S
Toyota,TOWNACE NOAH,1998,SR50,3S
Toyota,Townace Noah,1998,SR50,3S
Toyota,TownACE NOAH  4WD,1998,CR50,3C
Toyota,TOWNACE NOAH 4WD,1998,CR50,3C
Toyota,TOWNACE Van,1998,CR41,2C
Toyota,Townace Wagon,1994,CR31,3C
Toyota,Townace Wagon,1996,CR31,3C
Toyota,Vista,1994,SV41,3S
Toyota,Vista,1995,SV41,3S
Toyota,VISTA,1997,SV41,3S
Toyota,VISTA,1998,SV40,4S
Toyota,VISTA,1998,SV41,
Toyota,VISTA,1999,ZZV50,1ZZ
Toyota,VISTA  ARDEO,1999,ZZV50,1ZZ
Toyota,VITS,1999,SCP10,1SZ
